Label,Start date,End date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy
Sen2-20180316-20180515,20180316,20180515,60,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180316_0_L1C_X_S2A_7VFH_20180515_0_L1C_G0120V02_P048.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180316_0_L1C_X_S2A_7VFH_20180515_0_L1C_G0120V02_P048.nc_vy.tif
Sen2-20180329-20180508,20180329,20180508,40,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180329_0_L1C_X_S2A_7VFH_20180508_0_L1C_G0120V02_P075.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180329_0_L1C_X_S2A_7VFH_20180508_0_L1C_G0120V02_P075.nc_vy.tif
Sen2-20180508-20180518,20180508,20180518,10,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180518_0_L1C_G0120V02_P089.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180518_0_L1C_G0120V02_P089.nc_vy.tif
Sen2-20180508-20180627,20180508,20180627,50,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P041.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P041.nc_vy.tif
Sen2-20180515-20180619,20180515,20180619,35,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180515_0_L1C_X_S2B_7VFH_20180619_0_L1C_G0120V02_P042.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180515_0_L1C_X_S2B_7VFH_20180619_0_L1C_G0120V02_P042.nc_vy.tif
Sen2-20180518-20180523,20180518,20180523,5,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180518_0_L1C_X_S2B_7VFH_20180523_0_L1C_G0120V02_P084.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180518_0_L1C_X_S2B_7VFH_20180523_0_L1C_G0120V02_P084.nc_vy.tif
Sen2-20180627-20180722,20180627,20180722,25,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180627_1_L1C_X_S2B_7VFH_20180722_0_L1C_G0120V02_P071.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180627_1_L1C_X_S2B_7VFH_20180722_0_L1C_G0120V02_P071.nc_vy.tif
Sen2-20180704-20180724,20180704,20180724,20,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180704_0_L1C_X_S2A_7VFH_20180724_0_L1C_G0120V02_P086.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180704_0_L1C_X_S2A_7VFH_20180724_0_L1C_G0120V02_P086.nc_vy.tif
Sen2-20180724-20180729,20180724,20180729,5,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180724_0_L1C_X_S2B_7VFH_20180729_0_L1C_G0120V02_P094.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180724_0_L1C_X_S2B_7VFH_20180729_0_L1C_G0120V02_P094.nc_vy.tif
Sen2-20180727-20180801,20180727,20180801,5,NaN,varying (240-480),NaN,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180727_0_L1C_X_S2B_7VFH_20180801_0_L1C_G0120V02_P093.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180727_0_L1C_X_S2B_7VFH_20180801_0_L1C_G0120V02_P093.nc_vy.tif
