Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy
Sen2-20180304-20180314,64,8,Gau,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_gauss_hp__T07VFH_20180314T204219_B04_s_gauss_hp_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180304T204329_B04_s_gauss_hp_warp__T07VFH_20180314T204219_B04_s_gauss_hp_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_gauss_hp__T07VFH_20180314T204219_B04_s_gauss_hp_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180304T204329_B04_s_gauss_hp_warp__T07VFH_20180314T204219_B04_s_gauss_hp_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vy.tif
Sen2-20180304-20180314,32,4,NAOF,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vy.tif
Sen2-20180304-20180314,32,8,NAOF,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_32.0_max_chip_32.0_skip_rate_8/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_8-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_32.0_max_chip_32.0_skip_rate_8/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_8-vy.tif
Sen2-20180304-20180314,64,4,NAOF,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_64.0_max_chip_64.0_skip_rate_4/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_4-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_64.0_max_chip_64.0_skip_rate_4/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_4-vy.tif
Sen2-20180304-20180314,64,8,NAOF,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180304T204329_B04_s_naof2__T07VFH_20180314T204219_B04_s_naof2_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180304T204329_B04_s_naof2_warp__T07VFH_20180314T204219_B04_s_naof2_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vy.tif
Sen2-20180508-20180627,32,4,None,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vy.tif
Sen2-20180508-20180627,32,8,None,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_32.0_max_chip_32.0_skip_rate_8/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_8-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_32.0_max_chip_32.0_skip_rate_8/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_8-vy.tif
Sen2-20180508-20180627,64,4,None,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_64.0_max_chip_64.0_skip_rate_4/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_4-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_64.0_max_chip_64.0_skip_rate_4/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_4-vy.tif
Sen2-20180508-20180627,64,8,None,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s__T07VFH_20180627T204021_B04_s_min_min_chip_64.0_max_chip_64.0_skip_rate_8/T07VFH_20180508T204021_B04_s_warp__T07VFH_20180627T204021_B04_s_warp_10.0_min_chip_64.0_max_chip_64.0_skip_rate_8-vy.tif
Sen2-20180508-20180627,32,4,Gau,pyrUP,autoRIFT,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s_gauss_hp__T07VFH_20180627T204021_B04_s_gauss_hp_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180508T204021_B04_s_gauss_hp_warp__T07VFH_20180627T204021_B04_s_gauss_hp_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vx.tif,/home/jovyan/Projects/PX_comparison/PX/autoRIFT/S2/T07VFH_20180508T204021_B04_s_gauss_hp__T07VFH_20180627T204021_B04_s_gauss_hp_min_min_chip_32.0_max_chip_32.0_skip_rate_4/T07VFH_20180508T204021_B04_s_gauss_hp_warp__T07VFH_20180627T204021_B04_s_gauss_hp_warp_10.0_min_chip_32.0_max_chip_32.0_skip_rate_4-vy.tif
