Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy,OIE-x,OIE-y,OI-peak-x,OI-peak-y,slope_max-normal-E,slope_min-shear-E,E_ratio,pt0_velodiff,pt1_velodiff,pt2_velodiff
LS8-20180802-20180818,64,1,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_None/20180802-20180818_velo-raw_vy.tif,0.2197265625,0.2490234375,0.05859375,0.029296875,0.08791221512743728,0.177980372703618,0.4939433140407746,-0.33900732761409125,-0.3339386913777076,
LS8-20180802-20180818,64,4,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_Gau/20180802-20180818_velo-raw_vy.tif,0.146484375,0.1171875,0.0439453125,0.029296875,0.05270481908971623,0.126755379109801,0.4157994671299987,-0.27322100976998187,0.06530633108069261,
LS8-20180802-20180818,64,4,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_NAOF/20180802-20180818_velo-raw_vy.tif,0.0439453125,0.06591796875,0.029296875,0.0,0.04064620281703503,0.07878202753688192,0.5159324288525889,0.1954741702657894,-0.09896475600271232,
LS8-20180802-20180818,64,4,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_None/20180802-20180818_velo-raw_vy.tif,0.234375,0.25634765625,0.05859375,0.0439453125,0.0881817982894845,0.20202020952039235,0.4364998853274788,-0.3349540467997413,-0.28439344655970616,
LS8-20180802-20180818,64,8,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_Gau/20180802-20180818_velo-raw_vy.tif,0.13916015625,0.1171875,0.05126953125,0.029296875,0.07628988210484301,0.19944467114782213,0.38251150891015456,-0.28352208950164826,0.04896379382041027,
LS8-20180802-20180818,64,8,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_NAOF/20180802-20180818_velo-raw_vy.tif,0.047607421875,0.0732421875,0.029296875,0.00732421875,0.044558051716628966,0.08225330273890674,0.5417174779968137,-0.006363867927107414,-0.05710945708225379,
LS8-20180802-20180818,64,8,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_None/20180802-20180818_velo-raw_vy.tif,0.223388671875,0.245361328125,0.05126953125,0.0439453125,0.14422342650319395,0.3220328479241733,0.44785315359243466,-0.34071687209184975,-0.30494922314039163,
LS8-20180304-20180405,multi,16,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_NAOF_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_NAOF_200.tif,0.23354190774032246,0.27751872601547506,-0.021671938011965975,0.01843237786116313,0.14388180396909642,0.27079518541430425,0.5313307315599568,0.2921364286932148,-0.13055465801547242,
LS8-20180304-20180405,multi,4,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_NAOF_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_NAOF_50.tif,0.8630879898179054,0.577593918739459,-0.009772387111629068,0.0037485345814426024,0.10781504849068686,0.19019655644554131,0.5668612014095922,0.2601300980228097,-0.11879000823957347,
LS8-20180304-20180405,multi,16,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_gaus_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_gaus_200.tif,0.25120065569949007,0.399150050012882,-0.005319764441596377,0.019913330678950535,0.08513522801574995,0.16696109747768365,0.5099105678023547,0.272090961756325,-0.056316356802163126,
