Date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy
LS8-20180802-20180818,16,32,480,4,60,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_None/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,32,480,8,120,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_Gau/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,32,480,8,120,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_NAOF/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,32,480,8,120,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_None/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,1,15,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_Gau/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,1,15,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_NAOF/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,1,15,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_None/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,4,60,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_Gau/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,4,60,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_NAOF/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,4,60,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip4_None/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,8,120,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_Gau/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,8,120,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_NAOF/20180802-20180818_velo-raw_vy.tif
LS8-20180802-20180818,16,64,960,8,120,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip8_None/20180802-20180818_velo-raw_vy.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,15.13,242.1,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_NAOF_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_NAOF_200.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,4.009,60.14,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_NAOF_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_NAOF_50.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,15.13,242.1,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_gaus_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_gaus_200.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,4.009,60.14,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_gaus_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_gaus_50.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,15.13,242.1,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_r_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_r_200.tif
LS8-20180304-20180405,32,varying: multi-pass,varying: multi-pass,4.009,60.14,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l12_r_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l12_r_50.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,15.13,242.1,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_NAOF_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_NAOF_200.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,4.009,60.14,NAOF,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_NAOF_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_NAOF_50.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,15.13,242.1,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_gaus_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_gaus_200.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,4.009,60.14,Gau,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_gaus_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_gaus_50.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,15.13,242.1,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_r_200.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_r_200.tif
LS8-20180802-20180818,16,varying: multi-pass,varying: multi-pass,4.009,60.14,None,interest point groups,GIV,/home/jovyan/Projects/PX_comparison/PX/GIV/u_l34_r_50.tif,/home/jovyan/Projects/PX_comparison/PX/GIV/v_l34_r_50.tif
